,index,0,1,2,3,4,5,6,7,8,9,color
12,21 - 30 years,1.6843096149830823,1.5318429298585003,-0.6056980467739553,-0.26511555692832917,-1.6686928173795295,-0.9845475377739917,0.5373954064779304,0.896265360015212,0.1408440842124546,0.21144971164689355,Experience
13,31 - 40 years,1.8436747877422945,3.9993792052203134,4.303769887193545,-0.2962332231565617,2.273818286552661,-0.2979450404241512,-3.149010810103867,-1.254353924883315,0.1679015008596947,0.12169698935724106,Experience
14,41 years or more,1.7150249175887922,4.992043088776038,6.287747196248953,-2.104240507004164,6.557503094487828,8.901407296226017,16.494784028069315,2.7956717290347335,-1.2328532697228771,2.4540806906825936,Experience
15,5-7 years,-0.3719862756112936,-0.4267067132883545,0.6248229583442692,-0.13025363547773758,-0.2792681998008767,-0.671286595190282,0.36524235045334374,-0.4362371371439494,-0.8431793825060557,-0.08726570422499777,Experience
16,8 - 10 years,0.18952817906546726,-0.7464533658608732,0.24741197890550656,0.016991289901699562,0.5071476414185896,-0.4893597693685374,0.1984453879331551,0.1876528993354119,1.3838797555417597,-0.03975098304362212,Experience
17,College degree,-0.2061167698720013,0.0957511608814801,-0.07992890072723423,-0.06690688828165373,-0.15112321122147146,0.10875926932084964,0.061037352551014466,-0.5094156902678741,0.16538750911212755,-0.09604161900501514,Diploma
18,High School,0.4000238023390497,0.8491907226812535,-0.3019626373187752,-0.163893434748687,0.05285131407905096,0.12493373551890515,0.4714095849863244,-0.024398748870529598,0.18640243027398903,-1.6524395167798853,Diploma
19,Master's degree,0.11250089948740641,-0.2908875789523401,0.014753400905812696,-0.36264051527952573,0.24591346127778674,-0.14115949413747592,-0.12502561558140282,0.5281461884520909,-0.18901081287255703,0.2842985501926483,Diploma
20,PhD,0.10069586314332221,0.004233434369283741,-0.00019012247068520179,-0.07467225412588725,0.16845526523598367,-0.2717942284524504,-0.31520631919965675,0.559252423767774,-0.35636980949496116,2.17706394835433,Diploma
21,"Professional degree (MD, JD, etc.)",0.43771527086096784,-0.5862817998732963,1.08730580465664,3.4271322213868793,-0.49730273494096255,0.28472724452892717,-0.0456736583182178,1.094908742395929,-0.2833051815001719,-0.4001389809021503,Diploma
22,Some college,0.41983067152563325,0.8291571253407246,-0.1498418628359757,-0.12832468401619238,0.08930410249829265,-0.13243863867572275,0.25988004919309887,-0.010528421977004189,0.12472954826021981,-1.4183069821759124,Diploma
23,Unknown,-0.15367457723020211,-0.3710391525628901,-0.07112172008389146,0.3611759862473935,0.1954093006185307,0.010403814201822317,0.06004810423698443,-0.436643081475682,-0.029223892042800473,-0.26131288109893663,Diploma
24,industry_Advertising,-0.36363274273780455,-0.3134020141212663,0.2592144378947899,-0.27947802136711447,-0.36644233299605516,0.04728802683668033,0.12285141121937453,-0.9468526857863292,0.19416327412048348,-0.11633448003035304,Industry
25,industry_Agriculture & Food,-0.32681217030874704,0.08464536741706244,-0.18641893190152528,-0.2613265876352436,0.526476008841235,-0.2530140152784768,0.45006289927248816,0.13731921144618928,1.0380860976258213,-0.2704797267414385,Industry
26,industry_Banking & Insurance,0.07061120375822594,0.25182944862363027,-0.09351440481345195,-0.012770893013737673,-0.1215523003419986,-0.06777025287401342,0.0606354729441279,-0.3561828390985835,0.17339828444322064,-0.5545609806813232,Industry
27,industry_Construction,-0.11698212416343103,0.48385425977225155,-0.21652876053496398,-0.2093559694031874,0.10618523008584335,-0.10322701993821871,0.021610027280923736,-0.12362628555196752,0.23099086967883378,-1.7043711266268988,Industry
28,industry_Consulting,-0.18038880651873807,0.017180639993947387,-0.2367086257558061,0.28495147663316195,-0.00944970158078377,0.1279143120572406,-0.054993573910950375,-0.5247384158896625,0.2409866920557715,1.0024164754093279,Industry
29,industry_Culture,-0.2739455630529104,-0.010295990915905412,-0.0140917093730568,-0.44263218670177257,-0.11396044413399774,-0.0591986964882921,0.03543359122284001,0.18189162266038128,0.030311980781506632,-0.7274285685822821,Industry
30,industry_Ecology & Environment,-0.8684798228488464,1.2801882142876544,-1.0150896165658396,0.5114889025147625,1.368281271704966,-1.2167673171947582,-0.4234484246159975,0.21988648950395134,0.5324667154764927,1.6412408718058804,Industry
